date;system_hour;cycle_time;battery_state;voltage[V];current[mA];capacity[mAh]
2025-09-23;19:17:08;0:05:00;discharging;3.094;47;0
2025-09-23;19:17:10;0:00:02;discharging;3.042;50;0
2025-09-23;19:17:12;0:00:04;discharging;3.077;50;0
2025-09-23;19:17:14;0:00:06;discharging;3.073;50;1
2025-09-23;19:17:16;0:00:08;discharging;3.063;50;1
2025-09-23;19:17:18;0:00:10;discharging;3.06;50;1
2025-09-23;19:17:20;0:00:12;discharging;3.091;50;2
2025-09-23;19:17:22;0:00:14;discharging;3.07;49;2
2025-09-23;19:17:24;0:00:16;discharging;3.04;49;2
2025-09-23;19:17:26;0:00:18;discharging;3.048;49;2
2025-09-23;19:17:28;0:00:20;discharging;3.045;49;3
2025-09-23;19:17:30;0:00:22;discharging;3.053;49;3
2025-09-23;19:17:32;0:00:24;discharging;3.04;50;3
2025-09-23;19:17:34;0:00:26;discharging;3.062;49;3
2025-09-23;19:17:36;0:00:28;discharging;3.04;50;4
2025-09-23;19:17:38;0:00:30;discharging;3.044;50;4
2025-09-23;19:17:40;0:00:32;discharging;3.04;49;4
2025-09-23;19:17:42;0:00:34;discharging;3.055;49;5
2025-09-23;19:17:44;0:00:36;discharging;3.061;49;5
2025-09-23;19:17:46;0:00:38;discharging;3.056;49;5
2025-09-23;19:17:48;0:00:40;discharging;3.053;50;5
2025-09-23;19:17:50;0:00:42;discharging;3.016;49;6
2025-09-23;19:17:52;0:00:44;discharging;3.07;49;6
2025-09-23;19:17:54;0:00:46;discharging;3.04;49;6
2025-09-23;19:17:56;0:00:48;discharging;3.015;49;7
2025-09-23;19:17:58;0:00:50;discharging;3.01;50;7
2025-09-23;19:18:00;0:00:52;discharging;2.997;50;7
2025-09-23;19:18:02;0:00:54;finished;3.834;0;7
2025-09-23;19:18:04;0:00:56;finished;3.839;0;7
