date;system_time;cycle_time;battery_state;voltage[V];current[mA];capacity[mAh]
2025-09-23;08:51:10;0:00:08;rest;3.865;0;6
2025-09-23;08:51:12;0:00:10;rest;3.865;0;6
2025-09-23;08:51:14;0:00:12;rest;3.864;0;6
2025-09-23;08:51:16;0:00:14;rest;3.864;0;6
2025-09-23;08:51:18;0:00:16;rest;3.863;0;6
2025-09-23;08:51:20;0:00:18;rest;3.865;0;6
2025-09-23;08:51:22;0:00:20;rest;3.865;0;6
2025-09-23;08:51:24;0:00:22;rest;3.863;0;6
2025-09-23;08:51:26;0:00:24;rest;3.864;0;6
2025-09-23;08:51:28;0:00:26;rest;3.861;0;6
2025-09-23;08:51:30;0:00:28;rest;3.863;0;6
2025-09-23;08:51:32;0:00:30;rest;3.861;0;6
2025-09-23;08:51:34;0:00:32;rest;3.861;0;6
2025-09-23;08:51:36;0:00:34;rest;3.861;0;6
2025-09-23;08:51:38;0:00:36;rest;3.863;0;6
2025-09-23;08:51:40;0:00:38;rest;3.861;0;6
2025-09-23;08:51:42;0:00:40;rest;3.859;0;6
2025-09-23;08:51:44;0:00:42;rest;3.859;0;6
2025-09-23;08:51:46;0:00:44;rest;3.857;0;6
2025-09-23;08:51:48;0:00:46;rest;3.859;0;6
2025-09-23;08:51:50;0:00:48;rest;3.86;0;6
2025-09-23;08:51:52;0:00:50;rest;3.857;0;6
2025-09-23;08:51:54;0:00:52;rest;3.858;0;6
2025-09-23;08:51:56;0:00:54;rest;3.857;0;6
2025-09-23;08:51:58;0:00:56;rest;3.857;0;6
2025-09-23;08:52:00;0:00:58;rest;3.863;0;6
2025-09-23;08:52:02;0:01:00;rest;3.857;0;6
2025-09-23;08:52:04;0:01:02;rest;3.857;0;6
2025-09-23;08:52:06;0:01:04;rest;3.858;0;6
2025-09-23;08:52:08;0:01:06;rest;3.857;0;6
2025-09-23;08:52:10;0:01:08;rest;3.858;0;6
2025-09-23;08:52:12;0:01:10;rest;3.863;0;6
2025-09-23;08:52:14;0:01:12;rest;3.857;0;6
2025-09-23;08:52:16;0:01:14;rest;3.857;0;6
2025-09-23;08:52:18;0:01:16;rest;3.857;0;6
2025-09-23;08:52:20;0:01:18;rest;3.857;0;6
2025-09-23;08:52:22;0:01:20;rest;3.857;0;6
2025-09-23;08:52:24;0:01:22;rest;3.857;0;6
2025-09-23;08:52:26;0:01:24;rest;3.857;0;6
2025-09-23;08:52:28;0:01:26;rest;3.857;0;6
2025-09-23;08:52:30;0:01:28;rest;3.865;0;6
2025-09-23;08:52:32;0:01:30;rest;3.863;0;6
2025-09-23;08:52:34;0:01:32;rest;3.862;0;6
2025-09-23;08:52:36;0:01:34;rest;3.863;0;6
2025-09-23;08:52:38;0:01:36;rest;3.857;0;6
2025-09-23;08:52:40;0:01:38;rest;3.857;0;6
2025-09-23;08:52:42;0:01:40;rest;3.861;0;6
2025-09-23;08:52:44;0:01:42;rest;3.857;0;6
2025-09-23;08:52:46;0:01:44;rest;3.857;0;6
2025-09-23;08:52:48;0:01:46;rest;3.857;0;6
2025-09-23;08:52:50;0:01:48;rest;3.857;0;6
2025-09-23;08:52:52;0:01:50;rest;3.857;0;6
2025-09-23;08:52:54;0:01:52;rest;3.857;0;6
2025-09-23;08:52:56;0:01:54;rest;3.857;0;6
2025-09-23;08:52:58;0:01:56;rest;3.857;0;6
2025-09-23;08:53:00;0:01:58;rest;3.857;0;6
2025-09-23;08:53:02;0:02:00;rest;3.857;0;6
2025-09-23;08:53:04;0:02:02;rest;3.863;0;6
2025-09-23;08:53:06;0:02:04;rest;3.857;0;6
2025-09-23;08:53:08;0:02:06;rest;3.857;0;6
2025-09-23;08:53:10;0:02:08;rest;3.857;0;6
2025-09-23;08:53:12;0:02:10;rest;3.857;0;6
2025-09-23;08:53:14;0:02:12;rest;3.857;0;6
2025-09-23;08:53:16;0:02:14;rest;3.857;0;6
2025-09-23;08:53:18;0:02:16;rest;3.857;0;6
2025-09-23;08:53:20;0:02:18;rest;3.857;0;6
2025-09-23;08:53:22;0:02:20;rest;3.857;0;6
2025-09-23;08:53:24;0:02:22;rest;3.857;0;6
2025-09-23;08:53:26;0:02:24;rest;3.857;0;6
2025-09-23;08:53:28;0:02:26;rest;3.857;0;6
2025-09-23;08:53:30;0:02:28;rest;3.864;0;6
2025-09-23;08:53:32;0:02:30;rest;3.857;0;6
2025-09-23;08:53:34;0:02:32;rest;3.857;0;6
2025-09-23;08:53:36;0:02:34;rest;3.863;0;6
2025-09-23;08:53:38;0:02:36;rest;3.864;0;6
2025-09-23;08:53:40;0:02:38;rest;3.857;0;6
2025-09-23;08:53:42;0:02:40;rest;3.857;0;6
2025-09-23;08:53:44;0:02:42;rest;3.857;0;6
2025-09-23;08:53:46;0:02:44;rest;3.864;0;6
2025-09-23;08:53:48;0:02:46;rest;3.857;0;6
2025-09-23;08:53:50;0:02:48;rest;3.857;0;6
2025-09-23;08:53:52;0:02:50;rest;3.857;0;6
2025-09-23;08:53:54;0:02:52;rest;3.857;0;6
2025-09-23;08:53:56;0:02:54;rest;3.863;0;6
2025-09-23;08:53:58;0:02:56;rest;3.857;0;6
2025-09-23;08:54:00;0:02:58;rest;3.863;0;6
2025-09-23;08:54:02;0:03:00;rest;3.857;0;6
2025-09-23;08:54:04;0:03:02;rest;3.857;0;6
2025-09-23;08:54:06;0:03:04;rest;3.857;0;6
2025-09-23;08:54:08;0:03:06;rest;3.857;0;6
2025-09-23;08:54:10;0:03:08;rest;3.857;0;6
2025-09-23;08:54:12;0:03:10;rest;3.857;0;6
2025-09-23;08:54:14;0:03:12;rest;3.857;0;6
2025-09-23;08:54:16;0:03:14;rest;3.857;0;6
2025-09-23;08:54:18;0:03:16;rest;3.857;0;6
2025-09-23;08:54:20;0:03:18;rest;3.857;0;6
2025-09-23;08:54:22;0:03:20;rest;3.857;0;6
2025-09-23;08:54:24;0:03:22;rest;3.857;0;6
2025-09-23;08:54:26;0:03:24;rest;3.857;0;6
2025-09-23;08:54:28;0:03:26;rest;3.857;0;6
2025-09-23;08:54:30;0:03:28;rest;3.857;0;6
2025-09-23;08:54:32;0:03:30;rest;3.857;0;6
